Round,Date,HomeTeam,AwayTeam,FTHG,FTAG,EGHT,EGAT,BPHT,BPAT,GAHT,GAAT,SoGHT,SoGAT,FKHT,FKAT,CKHT,CKAT,OHT,OAT,THT,TAT,GSHT,GSAT,FHT,FAT,RCHT,RCAT,YCHT,YCAT,TPHT,TPAT,AHT,AAT,DAHT,DAAT,CCHT,CCAT
ROUND 23,24.02.2024,Union Berlin,Heidenheim,2,2,0.99,1.28,57,43,12,9,9,5,12,11,4,2,4,0,30,26,2,1,9,12,0,0,2,1,522,346,136,117,56,34,0,0
ROUND 23,24.02.2024,Werder Bremen,Darmstadt,1,1,1.92,1.03,54,46,13,11,9,8,15,15,4,6,5,2,16,27,2,4,10,13,0,0,3,4,523,415,101,89,57,39,0,0
ROUND 23,23.02.2024,Bayer Leverkusen,Mainz,2,1,1.21,1.36,60,40,18,13,11,9,18,16,11,2,2,2,21,12,3,5,14,16,0,1,3,5,664,336,129,78,73,26,0,0
ROUND 22,18.02.2024,Bochum,Bayern Munich,3,2,1.52,3.67,36,64,14,26,9,16,9,17,4,9,5,0,19,24,8,2,12,10,0,1,2,4,262,605,92,126,45,70,0,0
ROUND 22,18.02.2024,Freiburg,Eintracht Frankfurt,3,3,2.57,1.13,51,49,13,10,5,4,11,7,6,1,0,1,22,11,3,5,8,10,0,0,0,0,552,484,125,93,48,29,0,0
ROUND 22,17.02.2024,RB Leipzig,B. Monchengladbach,2,0,1.62,0.59,48,52,16,13,7,13,14,13,8,4,1,1,20,19,0,7,12,13,0,0,1,5,439,461,109,100,48,52,0,0
ROUND 22,17.02.2024,Darmstadt,Stuttgart,1,2,3.11,2.27,54,46,21,13,12,9,16,18,5,3,6,2,23,10,2,8,15,14,0,1,4,5,485,359,114,82,60,28,0,0
ROUND 22,17.02.2024,Heidenheim,Bayer Leverkusen,1,2,0.83,2.18,44,56,6,17,3,13,6,15,4,5,0,1,35,17,2,2,15,5,0,0,2,1,324,567,94,122,58,53,0,0
ROUND 22,17.02.2024,Hoffenheim,Union Berlin,0,1,1.08,1.42,62,38,16,10,12,7,10,15,6,2,2,3,18,23,2,4,10,7,1,1,3,4,627,298,139,69,65,25,0,0
ROUND 22,17.02.2024,Mainz,Augsburg,1,0,3.07,0.80,47,53,18,10,14,6,16,10,7,7,2,0,27,24,4,3,8,16,0,1,3,2,276,320,107,79,60,39,0,0
ROUND 22,17.02.2024,Wolfsburg,Dortmund,1,1,2.13,1.46,38,62,9,12,5,7,8,23,5,3,5,3,19,20,4,3,18,5,0,0,3,1,332,619,85,109,63,43,0,0
ROUND 22,16.02.2024,FC Koln,Werder Bremen,0,1,0.55,1.87,57,43,10,13,8,9,11,19,5,3,2,0,32,13,3,2,16,11,0,0,4,4,485,359,109,105,56,37,0,0
ROUND 21,11.02.2024,Hoffenheim,FC Koln,1,1,0.80,0.17,53,47,10,5,6,4,10,15,10,3,2,0,13,30,0,3,12,13,0,0,3,4,493,357,120,105,61,41,0,0
ROUND 21,11.02.2024,Stuttgart,Mainz,3,1,1.70,1.75,55,45,10,16,3,10,9,7,4,5,0,0,15,25,5,4,7,9,0,0,1,1,703,447,139,111,43,44,0,0
ROUND 21,10.02.2024,Bayer Leverkusen,Bayern Munich,3,0,1.76,0.27,38,62,14,8,6,7,14,16,4,6,3,1,20,22,1,5,13,13,0,0,3,2,409,649,87,133,30,52,0,0
ROUND 21,10.02.2024,Augsburg,RB Leipzig,2,2,0.91,1.76,48,52,11,9,7,3,14,16,1,3,3,3,24,18,4,2,15,10,0,0,5,1,309,461,113,97,57,44,0,0
ROUND 21,10.02.2024,B. Monchengladbach,Darmstadt,0,0,2.14,0.64,58,42,22,10,14,9,17,10,7,2,0,3,19,22,1,8,11,15,0,0,0,5,548,378,120,93,65,33,0,0
ROUND 21,10.02.2024,Eintracht Frankfurt,Bochum,1,1,2.09,0.98,52,48,8,14,6,9,12,7,8,3,0,3,22,22,4,1,6,12,0,0,2,2,431,369,96,132,40,46,0,0
ROUND 21,10.02.2024,Union Berlin,Wolfsburg,1,0,0.50,1.24,48,52,7,15,5,10,10,15,6,10,3,1,23,29,5,1,12,9,0,0,1,2,329,459,79,126,36,78,0,0
ROUND 21,10.02.2024,Werder Bremen,Heidenheim,1,2,2.01,2.36,63,37,14,10,11,7,15,14,5,10,5,2,22,19,1,2,10,13,0,0,1,2,602,295,132,98,53,31,0,0
ROUND 21,09.02.2024,Dortmund,Freiburg,3,0,2.39,0.25,65,35,17,6,9,3,8,16,5,3,3,3,18,8,3,5,13,7,0,0,2,0,655,311,95,100,56,36,0,0
ROUND 18,07.02.2024,Mainz,Union Berlin,1,1,1.78,0.94,46,54,16,15,9,11,15,16,8,3,2,2,29,25,3,6,14,15,0,0,2,4,252,333,118,91,35,37,0,0
ROUND 20,04.02.2024,RB Leipzig,Union Berlin,2,0,1.56,0.55,64,36,16,10,10,8,11,15,5,4,2,0,16,14,2,4,13,11,0,1,1,2,676,325,146,75,57,30,0,0
ROUND 20,04.02.2024,Wolfsburg,Hoffenheim,2,2,1.73,1.82,47,53,14,17,6,10,18,12,7,2,1,3,17,22,5,6,12,16,0,0,2,3,367,460,86,116,43,68,0,0
